No. of Generation	Current Best Length
1	123750.06880955001
2	123750.06880955001
3	117963.38468498683
4	116719.05504938096
5	113090.50533742797
6	113090.50533742797
7	111170.06583046149
8	111170.06583046149
9	104045.69377754132
10	104045.69377754132
11	101760.06959634386
12	101760.06959634386
13	101760.06959634386
14	94821.56010258711
15	94821.56010258711
16	94821.56010258711
17	94821.56010258711
18	94821.56010258711
19	94821.56010258711
20	94821.56010258711
21	89810.22242858582
22	89810.22242858582
23	89810.22242858582
24	86590.30483227725
25	85794.36195654115
26	85794.36195654115
27	85794.36195654115
28	85794.36195654115
29	85794.36195654115
30	85039.64616506573
31	85039.64616506573
32	85039.64616506573
33	85039.64616506573
34	85039.64616506573
35	85039.64616506573
36	85039.64616506573
37	85039.64616506573
38	85039.64616506573
39	85039.64616506573
40	85039.64616506573
41	85039.64616506573
42	85039.64616506573
43	85039.64616506573
44	85039.64616506573
45	85039.64616506573
46	85039.64616506573
47	85039.64616506573
48	85039.64616506573
49	85039.64616506573
50	85039.64616506573
51	85039.64616506573
52	85039.64616506573
53	85039.64616506573
54	85039.64616506573
55	85039.64616506573
56	85039.64616506573
57	85039.64616506573
58	85039.64616506573
59	78600.13712854513
60	78600.13712854513
61	78600.13712854513
62	78600.13712854513
63	78600.13712854513
64	78600.13712854513
65	78600.13712854513
66	78600.13712854513
67	78600.13712854513
68	78600.13712854513
69	78600.13712854513
70	78600.13712854513
71	78600.13712854513
72	78600.13712854513
73	78600.13712854513
74	78600.13712854513
75	78600.13712854513
76	78600.13712854513
77	78600.13712854513
78	77873.47982821417
79	77453.67887861528
80	77453.67887861528
81	77453.67887861528
82	77453.67887861528
83	77453.67887861528
84	76587.28577659433
85	74683.86401554752
86	74683.86401554752
87	74683.86401554752
88	74683.86401554752
89	70897.71731689323
90	70897.71731689323
91	70897.71731689323
92	69827.32734335985
93	69827.32734335985
94	69827.32734335985
95	69827.32734335985
96	69827.32734335985
97	69827.32734335985
98	69827.32734335985
99	69827.32734335985
100	68691.3253987615
101	68545.14593788456
102	67922.64880331868
103	66424.09301410182
104	66424.09301410182
105	66424.09301410182
106	66123.35962415868
107	63677.80999697434
108	63677.80999697434
109	63677.80999697434
110	63127.102241016495
111	62620.1989902579
112	62140.216530382735
113	60193.14361656756
114	60193.14361656756
115	60193.14361656756
116	60108.728787316155
117	59842.99020002687
118	58537.75574537913
119	57103.221656988084
120	57103.221656988084
121	55469.43510031951
122	55292.341020598804
123	55292.341020598804
124	55292.341020598804
125	54801.98645578611
126	54481.39894585417
127	52976.87356820982
128	52976.87356820982
129	52848.31015346913
130	52560.33300280963
131	51928.10108716325
132	50996.07704614695
133	50996.07704614695
134	50312.66834331838
135	50312.66834331838
136	50312.66834331838
137	50162.08761029589
138	49647.599681744636
139	49647.599681744636
140	49647.599681744636
141	49647.599681744636
142	49076.37892291675
143	48795.503304889484
144	48795.503304889484
145	48795.503304889484
146	47563.65611603674
147	46993.00833179428
148	46993.00833179428
149	46907.12923167608
150	46907.12923167608
151	46589.74791990695
152	46303.30663470825
153	46303.30663470825
154	46303.30663470825
155	45908.63388382408
156	45908.63388382408
157	45908.63388382408
158	45908.63388382408
159	45908.63388382408
160	45782.95678614086
161	45782.95678614086
162	45782.95678614086
163	45782.95678614086
164	45782.95678614086
165	45782.95678614086
166	45782.95678614086
167	45782.95678614086
168	45782.95678614086
169	45782.95678614086
170	45782.95678614086
171	45782.95678614086
172	45782.95678614086
173	45782.95678614086
174	45782.95678614086
175	45539.10065850681
176	45539.10065850681
177	45539.10065850681
178	45496.950575607654
179	45496.950575607654
180	45496.950575607654
181	45232.04860745974
182	45232.04860745974
183	45232.04860745974
184	45232.04860745974
185	45232.04860745974
186	45209.89945818638
187	45209.89945818638
188	45142.12238338438
189	45011.57768843115
190	44523.78629357989
191	44303.31537455129
192	44303.31537455129
193	44303.31537455129
194	44303.31537455129
195	44303.31537455129
196	44303.31537455129
197	44303.31537455129
198	43879.88202412115
199	43879.88202412115
Final Best Distance:43879.88202412115
The best route via:30,37,19,27,17,43,6,28,36,46,15,33,20,18,7,44,31,38,8,22,16,1,9,40,12,11,23,3,41,34,14,47,21,13,25,39,29,5,48,24,10,42,2,26,4,35,45,32 
